name,ppv,pph
ARICEPT 10MG/28 CPS BK,"715,00","502,94"
ARICEPT 5 MG 28 CPS BK,"516,00","362,56"
ARIMIDEX 1MG BK,"810,00","510,00"
ARIPIPHI 10MG B30,"327,00","230,33"
ARIPIPHI 15MG B30,"373,00","262,65"
ARIPIPHI 5MG B30,"191,60","126,61"
ARITROZOL 1MG B28,"439,00","308,41"
ARIXIB 60MG BTE/14 CPS,"119,50","78,98"
ARIXIB 60MG BTE/7 CPS,"65,20","43,09"
ARIXIB 90MG BTE/14 CPS,"124,00","81,92"
ARIXIB 90MG BTE/7 CPS,"65,90","43,51"
ARIXTRA 2.5MG  2SPR,"173,90","114,90"
ARIXTRA 2.5MG INJ PFS 10,"703,00","494,47"
ARIXTRA 7.5MG INJ PFS 10,"1 468,00","1 168,25"
ARIXTRA 7.5MG INJ PFS 2,"398,00","279,72"
ARKOGELULES GINKGO,"95,30","63,53"
ARNICA GEL RESEDA,"54,00","36,00"
ARNIGEL GEL 45G,"45,00","29,75"
ARNIXOL 50G,"66,00","46,20"
ARNIXOL FRESH 100ML,"115,00","80,50"
ARNIXOL FRESH 60ML,"78,00","54,60"
AROMASINE 25MG  B30,"797,00","560,55"
ARPALGIC GEL,"110,00","77,00"
ARTANE BTE 20 COMP 5 MG..,"12,40","8,21"
ARTELAC 3.2MG  COLLYRE,"26,90","17,78"
ARTEMON 10MG/10MG B30,"211,00","139,72"
ARTEMON 10MG/5MG B30,"206,00","136,36"
ARTEMON 5MG/10MG B30,"158,10","104,45"
ARTEMON 5MG/5MG B30,"140,20","92,66"
ARTHROCARTI BTE/30 GELULES,"88,00","61,60"
ARTHROCARTI BTE/60 GELULES,"139,00","97,30"
ARTHRODONT BAIN DE BOUCHE,"65,00","43,37"
ARTHRODONT CLASSIQUE,"44,50","29,40"
ARTHROFLEX 360 GELS B30,"180,00","126,00"
ARTHROFORCE VITAL,"61,90","43,33"
ARTHROSAM,"95,00","66,50"
ARTICULIA/15 CP,"139,00","97,30"
ARTICULIA/30 CP,"249,00","174,30"
ARTICURE CREME,"69,50","48,66"
ARTIFLEX 45 GELLES,"149,50","104,64"
ARTIFLEX GEL 30G,"44,50","31,14"
ARTIFLEX GEL 60G,"54,50","38,16"
ARTIFLEX GELULES B30,"89,00","62,30"
ARTIFLEX ROLL-ON,"97,00","67,90"
ARTIMAX B45,"249,00","174,30"
ARTINOV,"149,00","104,30"
ARTOL CREME 50G,"65,00","45,50"
ARTROFOR,"129,90","85,83"
ARTROVIAL 2.2 / 1 SERINGUE,"295,00","194,92"
ARTROVIAL 2.2%/3 SERINGUES,"840,00","590,10"
ARTYX 15 MG B10,"37,10","24,53"
ARTYX 15MG B20,"72,60","47,96"
ARTYX 7.5MG B10,"27,10","17,92"
ARTYX 7.5MG B20,"49,70","32,86"
ASCABIOL FLACON 150 ML H,"17,00","11,27"
ASCODIGEST GELS B30,"99,00","69,30"
ASCOR VITAMINE C B/30 GELULES,"53,00","37,10"
ASKARDIL 160/30 CPS,"23,80","15,73"
ASKARDIL 75/30 CPS,"22,40","14,80"
ASPEGIC 100/20 STS,"20,40","13,45"
ASPEGIC 1000 20 SACHETS ..,"57,10","37,73"
ASPEGIC 250 SACHETS..,"20,30","13,43"
ASPEGIC 500 20 SACHETS..,"25,50","16,83"
ASPEGIC AD 1000MG 10 SACHETS..,"28,80","19,01"
